title,listed_in,rating,duration,seasons,International TV Shows, TV Dramas, TV Mysteries,Crime TV Shows, International TV Shows, TV Action & Adventure,Docuseries, Reality TV, Romantic TV Shows, TV Comedies,TV Dramas, TV Horror,British TV Shows, Docuseries, Crime TV Shows,TV Comedies, Spanish-Language TV Shows, TV Thrillers,Kids' TV, TV Sci-Fi & Fantasy,Reality TV,Anime Series, Kids' TV, Korean TV Shows, Science & Nature TV, Teen TV Shows,TV Shows,TV Action & Adventure,Stand-Up Comedy & Talk Shows,Classic & Cult TV, Stand-Up Comedy & Talk Shows,Romantic TV Shows,TV Horror,Spanish-Language TV Shows, Classic & Cult TV,TV Sci-Fi & Fantasy,Cluster,PCA1,PCA2,Cluster_Label
Blood & Water,"['International TV Shows', ' TV Dramas', ' TV Mysteries']",4,2 Seasons,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0136487126751255,-0.40060292760186944,Mixed Genre Epics
Ganglands,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']",4,1 Season,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2879001733735942,-1.3211113669216332,Family/Kids Shows
Jailbirds New Orleans,"['Docuseries', ' Reality TV']",4,1 Season,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-0.7278065636412783,-0.02416587137393463,Family/Kids Shows
Kota Factory,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",4,2 Seasons,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.345085109967599,0.33852967615931706,Short Comedies
Midnight Mass,"['TV Dramas', ' TV Horror', ' TV Mysteries']",4,1 Season,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.8449880955830794,0.7280891029315865,Mixed Genre Epics
The Great British Baking Show,"['British TV Shows', ' Reality TV']",2,9 Seasons,9,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2245851618455776,-0.16386350286156492,Family/Kids Shows
"Vendetta: Truth, Lies and The Mafia","['Crime TV Shows', ' Docuseries', ' International TV Shows']",4,1 Season,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.465490974978514,-2.2340346713429193,Family/Kids Shows
Bangkok Breaking,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']",4,1 Season,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2879001733735942,-1.3211113669216332,Family/Kids Shows
Crime Stories: India Detectives,"['British TV Shows', ' Crime TV Shows', ' Docuseries']",4,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3.498241840221268,-1.726345923696553,Family/Kids Shows
Dear White People,"['TV Comedies', ' TV Dramas']",4,4 Seasons,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.37062770505908604,0.4462357617169008,Mixed Genre Epics
Falsa identidad,"['Crime TV Shows', ' Spanish-Language TV Shows', ' TV Dramas']",4,2 Seasons,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.06683223128642612,-1.459953401708028,Family/Kids Shows
Jaguar,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Action & Adventure']",4,1 Season,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.1638324512561409,-0.4000301054146642,Short Comedies
Monsters Inside: The 24 Faces of Billy Milligan,"['Crime TV Shows', ' Docuseries', ' International TV Shows']",2,1 Season,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-2.189589330471664,-2.836563895815608,Family/Kids Shows
Resurrection: Ertugrul,"['International TV Shows', ' TV Action & Adventure', ' TV Dramas']",2,5 Seasons,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8337296023304388,-0.49413468170632896,Mixed Genre Epics
Love on the Spectrum,"['Docuseries', ' International TV Shows', ' Reality TV']",2,2 Seasons,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.2476878447823574,-1.4194206287247728,Family/Kids Shows
Chicago Party Aunt,['TV Comedies'],4,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-0.15949150075944182,0.5979913342188139,Mixed Genre Epics
Sex Education,"['British TV Shows', ' International TV Shows', ' TV Comedies']",4,3 Seasons,3,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1.6625248327205135,-0.2273792479240038,Family/Kids Shows
Squid Game,"['International TV Shows', ' TV Dramas', ' TV Thrillers']",4,1 Season,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.693035340682593,-0.4068095006251028,Mixed Genre Epics
Tayo and Little Wizards,"[""Kids' TV""]",7,1 Season,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.891974396339669,2.6806734455657373,Drama-heavy Long Series
